C00,C01,C02,C10,C11,C12,C20,C21,C22
#1A1B1D,#1109B7,#1E2223,#28EF24,#B90822,#33E132,#1D2120,#34F42F,#A2A6A9
#181E1E,#160EB9,#222328,#16DB12,#C7152F,#19D21F,#1E1D1B,#2BEB28,#8E818B
#1A1E21,#0F07B5,#1B1C1E,#27EC23,#C1102A,#31E428,#1B1C20,#3CFA38,#A5A9AA
#1B1C1E,#1006B5,#1E1E1E,#1CE219,#C4122C,#21DA1D,#1E1E1C,#34F731,#A5B1B1
#1E201F,#1008B3,#171B1A,#23E81F,#B30C1E,#17D616,#1D1D1D,#11D310,#B5BABD
#1B1B1D,#1610B8,#1B1C1E,#23E61E,#9C0009,#2EF129,#1E1F21,#17D80D,#B6BEC0
#1B1D1C,#120DB2,#192123,#0DD10B,#BD172B,#14D719,#1D1D1D,#2CEF26,#A1A9AB
#1A1A1C,#1712B7,#202221,#1DDD1A,#A7AFB2,#B7C5C5,#68696B,#B4B8BB,#AFB0B2
#1C1C1E,#1009B1,#1D1F1E,#2EF02D,#A60112,#09BD02,#181A19,#30F32A,#778585
#151E19,#160FB7,#1C1B20,#17DA12,#BD1B26,#23DB1B,#1A1A1A,#3AFF3B,#A0A5A9
#1C1B17,#0D06AE,#1F1A20,#2EF22C,#A70212,#00B400,#202020,#01C600,#9FABAB
#1B1C17,#120BB3,#1B1C20,#35F933,#B91424,#1AD61F,#1F1F1D,#05C500,#ACB7B9
#1C1A1B,#170FBA,#1C1C1E,#1CE118,#B0091B,#2AEE28,#1C1B19,#03C701,#BFC7CA
#191D1C,#1207B9,#1C1C1E,#2EF528,#C10F27,#09CF06,#201B21,#37FC33,#C2C7CA
#1E1E1C,#1005B9,#1B1C1E,#23EB19,#B90520,#19E512,#1B1C1E,#1AE412,#C7CBCE
#1E1D1B,#0F06B9,#D3D3CB,#2AF220,#654C50,#B9C1C3,#1C1C1A,#B9BDC0,#BBBFC2
#1F1B18,#1305BC,#1D1610,#21E81D,#D6D6D4,#D2D6D9,#121615,#C1C5C8,#C0C3C8
#191F1B,#0F04BA,#1A1A18,#0BD203,#B60019,#11E20D,#1D1D1D,#1DE717,#D2D3D5
#1B1B1D,#1004BC,#1D1E20,#08CF00,#A7000C,#16E00E,#1F2022,#51FF48,#C8CDD0
#181C1B,#1006BD,#1E1F21,#1FE317,#C10923,#00C600,#1A1C17,#30FA2A,#C3C7CA
#1C1E1B,#140AC3,#1E2223,#20E816,#C10B24,#0DD908,#242021,#07D100,#C7CACF
#191B18,#140AC3,#1E1F21,#34FB2E,#C50F26,#15E60F,#1D1C18,#42FF3A,#C9CACE
#1B1B1B,#140AC3,#1F2024,#1CE412,#B60016,#11E20B,#252525,#27F11F,#CBCCD0
#201C19,#1208C1,#1D2323,#1BE513,#BD021D,#18E912,#1F1F1D,#17E30E,#CACED1
#1F2120,#1106C2,#1E1F21,#16E00E,#BF051D,#23F61D,#1E1D19,#1DE914,#CACED1
#282421,#0E03BF,#1D1E19,#2FF723,#C30D24,#0EDF08,#1F211E,#13DF0C,#CCCDD1
#262721,#1106C4,#201F24,#20ED16,#C50B23,#16E910,#21201E,#23F41C,#CACED1
#1D1C1A,#1005C1,#171B1E,#14DE0C,#C50B23,#2BFE26,#1B1B1B,#1CE813,#CDCED2
#1C1A1B,#1308C6,#20221D,#2EF826,#C20820,#28FB22,#181E1C,#24F01B,#CBCFD2
#191B1A,#0B02BF,#212528,#26F21F,#C30823,#19E816,#1B1F1E,#34FF30,#CBCFD2
#1F1F1D,#1107CA,#1E2223,#10E10C,#C60A23,#1CF319,#1D1E19,#18EB13,#CBCED3
#1F1D1E,#1107C8,#1F1F1D,#18E914,#C60925,#19F016,#181818,#24F71F,#CCCFD4
#1F1F21,#1208C9,#21201E,#0BD706,#C1051E,#1BF01A,#1E1A17,#1AEB16,#CCCFD4
#1F1D1E,#1006C9,#1E1F21,#13E40D,#C40620,#1CF119,#1C1E1D,#1CEF17,#CCCFD4
#1E201F,#1107CA,#1F1F1F,#30FF30,#C60925,#36FF35,#1D1C1A,#27F924,#CCD0D3
#1D1F1C,#1209C8,#222629,#2DFD2B,#BD011A,#05DA06,#1B1B1B,#09DB06,#CFD3D6
#1C1D18,#1107C8,#181D19,#38FF37,#C60925,#16E817,#1F1F1D,#0DDF0A,#C7CBCE
#1E201B,#1006C9,#212224,#00D000,#C70B24,#17EC16,#1F2120,#39FF34,#CBCFD2
#24201F,#1006C9,#231F20,#36FF32,#BF031C,#28FF26,#1A1917,#18EB13,#CBCFD2
#221F1A,#1107CA,#211F20,#26F126,#C70B24,#1DF41B,#1C1E1D,#2EFE2C,#CDCED2
#1B221B,#1107CA,#1D1E20,#32FF34,#B80015,#2EFF2D,#242424,#39FF38,#CBCFD2
#1C211B,#1006C7,#222328,#00C700,#C0041D,#35FF34,#1D1F1E,#26F624,#CECFD3
#1B221B,#1206CA,#202123,#42FF41,#BF031C,#31FF31,#1D1D1D,#22F41F,#CCCFD4
#221E1B,#1206CA,#201F24,#18E816,#BD011A,#33FF34,#242422,#2BFD28,#CCD0D3
#1D1F1C,#0F04C4,#202427,#24F329,#C80C25,#0BE10D,#222721,#12E713,#C9CCD1
#1D241D,#1006C7,#1E2223,#00CE00,#C50922,#0CE20E,#1C1C1C,#00D200,#C9CCD1
#21211F,#0F07CC,#1E2326,#1AEB1E,#C60A23,#0BE00C,#1B1714,#09DB08,#CDD0D5
#1F1E1A,#0E08CC,#1E2223,#36FF37,#BE021B,#0DE30F,#1B1D18,#2DFF2C,#CDD0D5
#221F1A,#0F05C6,#222025,#32FF30,#C80A26,#1AF01C,#211D1A,#10E20F,#CCCFD4
#21201C,#1509CD,#231E24,#02D204,#BD0019,#3BFF3F,#20211C,#29F929,#CCCFD4
#23241F,#1208CB,#231E22,#2AF92D,#C60824,#1FF420,#242520,#0EE211,#CACDD2
#1C2021,#160BD1,#1E2225,#3DFF40,#CF112D,#00D000,#1F201B,#0FE312,#CCCFD4
#1E231F,#1208CB,#231E22,#21EA20,#C70A26,#3DFF40,#22231E,#1CEC1C,#CCD0D3
#1F1E19,#0F05C8,#202022,#11E111,#C30D24,#0DE110,#232220,#1BED18,#CDD0D5
#1F211E,#1006C7,#1F1D20,#43FF46,#C10621,#02D605,#222220,#2FFF2E,#CDD0D5
#1D221E,#1107CA,#201E21,#2FFF2D,#C80D28,#43FF44,#21221D,#08D808,#CCCFD4
#20201E,#0E04C5,#202123,#30FF34,#BF051D,#17EB1A,#1F201B,#33FF32,#CACDD2
#1F1F1F,#170DD0,#1F2024,#23F12C,#C60522,#0CE10D,#1B1A18,#36FF35,#CCCFD4
#221E1F,#0A00C3,#1F2326,#3FFF47,#BE041C,#08DD09,#20201E,#30FF2F,#CBCED3
#201E21,#150BCE,#1E2223,#34FE30,#C40A22,#11E516,#1D1D1F,#14E613,#CCCFD4
#1F1F21,#1107CA,#202425,#00C500,#C20820,#3AFF3D,#1D1C21,#25F726,#CACDD2
#1D2122,#1006C9,#1C2125,#37FF35,#C40620,#12E814,#222021,#12E40F,#CDD0D5
#21211F,#0F05C8,#1C2124,#00BB00,#BB001B,#2AFF2B,#1F1F1F,#39FF38,#C9CCD1
#1E1E1C,#0F05C6,#1C1F24,#54FF54,#CB102B,#14E915,#1A2020,#35FF35,#CBCED3
#1D1F1E,#1309CA,#1F2326,#35FF36,#C90D26,#33FF36,#1B2121,#1AEA18,#CBCED3
#222021,#0F05C8,#202529,#2BF628,#C50A25,#16EB17,#1B2121,#0BDD0C,#C6C9CE
#1F1D1E,#1309CC,#1F2428,#29F927,#C0061E,#11E713,#1B2121,#14E615,#C9CCD1
#1C1E1B,#1107CA,#1F2022,#14E611,#C50922,#27FD29,#191B1A,#24F623,#CCCFD4
#1E1E1E,#1006C9,#202528,#4FFF4F,#BF051D,#09DF0D,#1C1D1F,#11E312,#CCCFD4
#212121,#0E04C7,#171B1C,#00C600,#BE041C,#2FFF31,#181E1E,#23F522,#C6C9CE
#1C1D1F,#0F05C8,#141819,#29F82C,#B80015,#11E612,#1E201F,#00CD00,#D8DBE0
#1E201F,#1206CA,#212429,#39FF39,#B50013,#24F925,#201B1F,#38FF39,#C3C6CB
#21201E,#1208CB,#202123,#0ADA0A,#C60925,#00D405,#1F1F1F,#4BFF4A,#C8CBD0
#1F211E,#1004C8,#20211C,#2FFF2F,#C70C27,#41FF42,#1A1A1A,#08DA09,#D1D4D9
#201E1F,#1004C6,#262626,#08D806,#C90C28,#24F925,#282A29,#15E714,#CDD0D5
#20211C,#1004C8,#222327,#2DF82C,#BA0019,#1BEC21,#252122,#30FF31,#CBCED3
#22231E,#1406CB,#201F24,#00CF01,#D21531,#29FD2C,#22211F,#25F820,#CDD2D6
#24231F,#1206CA,#1C1D22,#33FE32,#CE112D,#18EA19,#231B18,#16E616,#CDD0D5
#23241F,#1006C9,#1A191E,#51FF50,#C0031F,#0BDC0F,#21201C,#12E315,#D4D7DC
#1D1F1C,#1007C6,#202123,#1CE61E,#B50014,#39FF3A,#28201E,#05D408,#D1D6DA
#22211D,#0F05C6,#1D2120,#24EF24,#D31833,#07D80B,#252525,#00C500,#D1D4D9
#22211D,#1005CB,#202123,#00CA00,#C2061F,#02D403,#1C1E1D,#31FF34,#D5DADE
#21211F,#1105C9,#1A1E21,#0FE10C,#BD021D,#1DF120,#20211C,#0FE10E,#CACDD2
