color_top,color_right,color_bottom,color_left
#1106C2,#00C400,#00C500,#48FF4B
#1207C3,#00B100,#00CF00,#00B700
#0D02BE,#39FF30,#3AFF3E,#41FF45
#1308C4,#2EFF28,#00CD00,#21F41C
#1409C5,#14E50E,#48FF4B,#52FF59
#0B02BD,#00CA00,#0FE012,#4BFF52
#1209C4,#00BA00,#00CD00,#1EEF24
#0D04BF,#00C700,#0BDC11,#24F621
#130AC5,#43FF3D,#00BF00,#00C700
#160DC8,#14E50E,#0DDC10,#03D30D
#0E05C0,#00BC00,#4BFF4B,#4EFF53
#0E05C0,#00C400,#0CDE0B,#46FF46
#140BC6,#00B500,#26F827,#46FF46
#0E05C0,#00B500,#00CB00,#4CFF4C
#0D04C1,#0EE109,#00CF00,#33FF37
#0E05C2,#00A900,#10DF13,#00CB00
#0F06C1,#00B300,#12E115,#11E016
#0F06C1,#00B500,#13E313,#26F72A
#1108C3,#16E30C,#31FF31,#04D507
#1007C4,#00BA00,#30FF31,#00D000
#1007C2,#1AE611,#3AFF38,#19EB18
#1209C4,#3BFF35,#00CE00,#05D704
#0F06C3,#00B400,#00CE00,#28FE24
#0F06C3,#00C100,#3BFF3B,#48FF45
#130AC7,#39FF2D,#02D200,#40FF41
#0C03C0,#00B700,#3FFF3F,#27FC28
#0A01BE,#00C600,#2CFC2A,#28FA29
#0E05C2,#2CFD26,#14E615,#0BDD08
#0D04C1,#00BE00,#35FF35,#15E716
#1007C4,#00B900,#40FF3F,#00CC00
#1108C3,#23F61D,#00CF00,#00CF00
#130AC5,#1CED16,#00BA00,#3DFF40
#13E814,#1007C2,#C8C9CD,#C3C8CB
#1209C6,#31FF2C,#00C200,#00D000
#1108C5,#3AFF31,#2FFF30,#2FFF2E
#1007C4,#37FF30,#0DDD0B,#44FF43
#1209C4,#34FF2E,#1FF120,#44FF41
#1007C2,#01CE00,#00CB00,#00BB00
#0F06C3,#3FFF38,#00D300,#06D901
#0E05C2,#00C300,#0FE10E,#2FFF2C
#0900BD,#4AFF40,#32FF2F,#00C800
#1007C4,#1EEB14,#00C500,#47FF46
#130AC7,#00AC00,#2CFC2C,#19EB18
#1309CA,#4AFF41,#00CC00,#1FF11E
#0F06C3,#44FF3E,#4AFF49,#22F423
#0F06C3,#00C600,#40FF3F,#00CB00
#0F06C3,#48FF3F,#07D803,#3CFF3D
#1108C5,#23F019,#31FF2E,#34FF35
#1209C6,#00BB00,#1BED1A,#37FF3A
#150AC8,#00BE00,#2BFD2C,#00CD00
#1206C8,#1CF312,#1CEF14,#1DF319
#1004C8,#1EF514,#20F618,#21F91C
#1004C6,#20F716,#20F618,#11EC0C
#1004C6,#1EF514,#18EE14,#1EF81B
#1307C9,#00CA00,#00BB00,#46FF4A
#CCD0D1,#D4D3BE,#B6BDB5,#D1D6D9
#1004C6,#00D100,#26FB25,#02D900
#1004C6,#00D800,#20F31B,#01D800
#1206C8,#08D902,#13E510,#4BFF3D
#1004C6,#14EA0C,#22F81C,#31FF2C
#0D01C3,#18EE14,#27F820,#1EF01B
#1004C6,#1EF514,#1FF517,#1DF514
#1004C8,#29FC21,#30FE2F,#16EF18
#1105C7,#40FF3A,#3BFF3A,#43FF42
#1004C8,#1DF514,#29FF24,#14EF0F
#0D03C4,#1DF017,#2AFF26,#00CB00
#0F03C7,#20F716,#1DF514,#32FF2B
#1105C9,#02D800,#2DFF25,#17EE14
