color_top,color_right,color_bottom,color_left
#1A1AAE,#14DF2D,#1CE735,#32F948
#1D1EAE,#00C317,#43FF5C,#41FF5D
#181AAD,#21EC3A,#25EC39,#1BE730
#1919AD,#24EF3D,#17E230,#20EB39
#1B1BB1,#15E12A,#1EE530,#10DC25
#1819AF,#1DE932,#1BE730,#11DC28
#1B1BB1,#16E22B,#19E52E,#1BE72E
#C1C7C3,#323337,#C2C4C3,#A4A8A7
#1A1AAC,#31FB4D,#26EC3D,#53FF6A
#1E1EB0,#0AD524,#10D726,#00AF02
#1D1DAF,#0CD628,#0BD122,#18DE2F
#00B70A,#BCC1BD,#CED0CB,#B6BAB9
#1A1BAB,#48FF64,#08CF1E,#40FF5C
#1C1CB0,#00CA18,#02C918,#03CE1D
#1D1DAF,#35FF4F,#0FD526,#00BB0C
#1E1EB0,#3BFF54,#24EF3D,#27ED3E
#1C1DAD,#3BFF5B,#4AFF63,#27ED40
#2020B2,#25F03E,#20E736,#22E938
#1A1AAE,#19E430,#1EE534,#34FB4A
#1B1BAD,#22ED3B,#21E833,#0ED927
#1E1FAF,#00BC0E,#35FB4C,#00BA0B
#1B1CAC,#00BC0E,#10D726,#34FA4D
#1919AB,#44FF60,#2FF645,#02C81B
#1B1BAD,#27F145,#0ED425,#33F94C
#1B1BAD,#21EC3A,#15DC29,#19E02F
#1A1AAC,#00C214,#13DA29,#0ED425
#1619A8,#12DD2C,#0CD322,#39FF50
#1E1FAF,#24EE40,#16DC2D,#0CD225
#1919AD,#1AE62F,#1DE431,#1EE530
#1E1FAF,#37FF53,#31F847,#0DD326
#1B1BAD,#38FF52,#21E837,#12D829
#181BAA,#00C719,#1CE332,#31F748
#15DB2E,#191BAC,#AFB4B0,#CACBC5
#1818AA,#2DF847,#33FA49,#00B807
#1B1BAD,#1CE736,#27EE3D,#37FE4D
#1A1AAE,#15E22D,#1CE330,#1EE530
#1C1CB0,#1BE730,#1CE32E,#1BE72E
#1B1BAF,#1AE730,#1DE42F,#1AE62F
#1A1AAE,#1BE833,#1DE42F,#1EEA33
#1F1FB3,#1CE831,#1AE62F,#27F33C
#1A1CAF,#15E22B,#16E12D,#14E62B
#1B1BAF,#00CC19,#0FD52A,#04CE20
#1D1DB3,#02D621,#28F342,#17E72F
#1B1BB1,#09D61F,#2EF544,#1FE935
#1D1DB1,#1CE733,#1CE733,#26F13D
#1A1BAB,#33F94E,#00AF0B,#00B40C
#1B1DB0,#1DE932,#14DB2A,#18E42D
#1A1CAF,#3DFF56,#33FE4C,#00C716
#191BAE,#2EFB46,#2AF13C,#33FE43
#1715A4,#00B50D,#00A000,#00A400
#1A1CAD,#15E02E,#20E637,#27F344
#181AAD,#1BE632,#1AE12E,#2EF945
#1B1BAF,#2FF94B,#3AFF53,#21EC3B
#2222B4,#13DD2F,#58FF6E,#28F246
#191AAA,#09CE26,#33F74D,#2AF44A
#191BAE,#22E52F,#1DE431,#2DF844
#181AAD,#0BDB25,#3BFF52,#28EF3A
#191BAC,#14DF2D,#21E73A,#00B403
#191CAB,#04CB28,#46FF5E,#17DD2E
#1C1DAD,#14DE30,#4DFF65,#09D329
#1B1DB0,#1FEA2F,#18DF2E,#15E22F
#2830FD,#25FF45,#1FFF4D,#35FF61
#2525F9,#36FF52,#21FF38,#29FF44
#0D0AD5,#24FE36,#23FB34,#07E017
#1912DC,#27FF33,#37FF46,#00D710
#1006D6,#1CF71F,#1CF522,#1CF721
#1007D4,#1FF61C,#1CF520,#21F61E
#D6D9DE,#C3C7CA,#D2D5DA,#DBDFE2
#1104D0,#28FF29,#1CF717,#16EA0C
#1104CE,#26FF27,#21F91A,#1EF212
#1104CE,#11E80F,#20F819,#1DF315
#1104CE,#21FD21,#1BF314,#26FA1A
#1104CE,#35FF38,#1DF516,#22EE13
#1104CE,#11EC12,#1CF415,#1DFC15
#1003CD,#17F317,#1EF617,#29FF22
#1104CE,#1CF71D,#20F819,#28FC1E
#1104D0,#37FF3A,#20F819,#18EE10
#1104D0,#3EFF3F,#1EF617,#1BF00C
#1104CE,#0DE60F,#1FF718,#27FD1F
#1104CE,#34FF36,#1CF415,#22F81A
#1104D0,#3CFF3E,#16EE0F,#06DD00
#1104D0,#27FF26,#28FF21,#13EA09
#1104D0,#00D803,#1EF617,#23F91B
