color_top,color_right,color_bottom,color_left
#1004C6,#1CED15,#1EEA17,#18F313
#1004C6,#1BEC14,#19EA15,#1DF41A
#1004C6,#1BED18,#1EEF1A,#1DF41A
#1307C9,#19EC13,#0DDF0C,#19F016
#1206C8,#21F41B,#2EFE2C,#18EF16
#180FCC,#1BEE16,#0DDF0C,#00B800
#130AC7,#1EEF1A,#17E916,#27F530
#0C04BC,#0ADA0A,#00C700,#2FFF27
#1109C1,#31FF2E,#06D807,#57FF56
#160EC6,#20F21D,#3CFF3D,#00A200
#0F07BF,#1AEA1A,#40FF41,#0CD701
#1109C1,#1AE71C,#3BFF3E,#00A000
#1005C3,#17EA12,#14E510,#00CD00
#0D03BC,#10DE0F,#28F92C,#00C500
#150DC3,#24F329,#1AE41C,#00B600
#0800B5,#35FF36,#00C700,#19E40F
#120ABF,#1BE41A,#1DEC20,#009C00
#1C15C7,#14DC17,#00D104,#27F322
#150DC3,#1FE722,#07D60A,#05CF01
#1912C4,#3EFF43,#04D309,#02C800
#0F07BC,#1CE620,#0DDC10,#08D200
#1007C2,#07D904,#C7DAD6,#33FF36
#0901B7,#0DD70F,#0EDD11,#00BB00
#1007C2,#28EE25,#20EB1D,#1AEE20
#1105C7,#1AEB13,#1AEA18,#2BFF2B
#170FC4,#00C800,#00C300,#25EC17
#0F07BD,#0DD60C,#03D206,#009800
#0F06C1,#BCC0C3,#23ED29,#00C400
#D1D2D7,#C1C2C6,#C6C9CE,#52FF56
#D2D3D8,#D2D3D7,#D6D7DC,#00BE00
#0F07BF,#25E91B,#21F121,#1FEE24
#1008BD,#44FF47,#2EFE2E,#3BFF38
#0D08BA,#16DA18,#2AF52A,#2AF92F
#1912C4,#16D817,#00C000,#00BB00
#1310BF,#30F231,#35FF37,#51FF4B
#0B06B8,#2FF530,#01CC01,#00B400
#1710C2,#21E523,#00C300,#00AA00
#0904B6,#35F734,#28F129,#00B100
#1612C1,#38FE35,#25F025,#00A600
#1710C2,#00C100,#1DE61E,#1DE40D
#0C05B5,#13D711,#3FFF41,#34F520
#1511C0,#2DF12D,#1FE820,#2CF41F
#140FC3,#0CD308,#2CF52B,#00B500
#120DBF,#38FC36,#00B800,#00BB00
#0F0BBA,#33F930,#2CF52B,#00A600
#0D09B8,#32F72B,#44FF45,#00C200
#1914C6,#2CF626,#02CD02,#00C400
#1008BE,#21EA22,#18E318,#33FF3F
#1109BE,#2FF931,#00CA00,#49FF42
#160FBF,#00C000,#42FF43,#00AB00
#0F08B8,#3CFF33,#3AFF3D,#00C000
#0D06B6,#16DC0B,#45FF46,#009D00
#0C08B7,#33F92A,#46FF47,#44FF39
#150EC0,#00BD00,#34FF38,#0CD402
#110ABA,#17DC10,#47FF49,#17DB0B
#1710C0,#12D90E,#28F129,#05C900
#130CBC,#22E71E,#2FFC33,#00B300
#1511C0,#32F92C,#38FF3D,#009F00
#0D06B6,#21EC1E,#46FF4C,#00A100
#110ABC,#11DB0D,#00B300,#009F00
#1912C4,#1BEA16,#01CB03,#21E714
#120BBD,#00B300,#00C000,#26EC19
#0B07B6,#3EFF36,#2DF72F,#03C900
#160FBF,#06D201,#11DB15,#15DB0A
#0C08B7,#1BE515,#3CFF3D,#00C000
#0E07B7,#24F424,#4AFF4D,#00AA00
#1B14C4,#12D90A,#00C903,#22E817
#0E0AB9,#16DB0F,#46FF4A,#1EE413
#1B14C4,#00BF00,#00C200,#34FA29
#160FC1,#00BA00,#00C200,#3EFF33
#0C05B5,#2AF122,#3BFF3D,#00B100
#100CBB,#16DF15,#28F22C,#32F827
#1914C6,#47FF3D,#00BB00,#00C400
#130CBC,#0CD604,#2DF72F,#3CFF32
#0A03B5,#2DF727,#00BE00,#009D00
#1009B9,#0FD907,#15DF17,#49FF3B
#0D06B8,#09D001,#00C200,#48FF3E
#160FBF,#00C800,#37FF39,#17DB0B
#120BBB,#48FF40,#0ED812,#48FF3C
#1A13C3,#3DFF36,#00C000,#00BB00
#1811C1,#34FE30,#00BD00,#3CFE2E
#1D16C6,#13DF0C,#2FF732,#0CD000
#1109BE,#3BFF36,#3FFF3F,#29EC23
#170FC4,#38FF33,#40FF44,#00A400
#120BBD,#37FF2E,#3DFF41,#00C000
#140FC1,#00C200,#0BD50F,#28EF20
#1915C4,#00BE00,#1DE520,#49FF3E
#1A13C3,#00C300,#00C804,#32F827
#120BBB,#00C000,#00C100,#2EF423
#0B04B4,#46FF3E,#29F32B,#00AE00
#1810C5,#00BC00,#00B900,#24EB1C
#0C04BA,#0FDA0C,#32FD32,#009C00
#1007C2,#1BEB1B,#22F125,#00D007
#1209C6,#14E70E,#23F41F,#11E610
#1007C4,#1BED18,#1BED1A,#1AEE20
#0E06BE,#2BFD2C,#3AFF3F,#48FF43
#0400B2,#4AFF45,#52FF54,#00BE00
#0D05BD,#00CE00,#22F127,#4AFF4C
#0F07BD,#27F725,#3AFF3D,#00B600
#120AC0,#00B000,#0BDA0E,#00A100
#0D05BB,#00C700,#2DFC30,#35FF3B
#100BC0,#00BF00,#18E71B,#00B700
#0D08BD,#26F425,#06D50B,#00AE00
#120AC0,#00BF00,#00C700,#00B900
#160EC4,#01CD00,#1EED21,#37FF32
#0B03B9,#32FF32,#19E11C,#15E618
#0A02BA,#4AFF47,#02CD02,#0FDF0F
#0D07BF,#18E816,#17E717,#1EF221
#170FC5,#42FF41,#04D309,#00BF00
#160EC4,#45FF42,#11DA10,#32FF33
#1109BF,#0CDC0A,#2FFF2F,#28F92C
#0F07BD,#00C200,#3AFF3D,#43FF41
#0F07BD,#00BE00,#00CA00,#1CED18
#110CC1,#00C200,#2AF52A,#00B700
#0E09BE,#00C000,#08D70B,#1CEB1F
#130DC5,#3BFF39,#1CEB1F,#00CE00
#0D05BB,#0BDA08,#15E418,#00AC00
#0C07BC,#1FEB18,#35FF35,#20EC1B
#100BC0,#04D402,#20F020,#00C200
#0F0ABF,#41FF3C,#27F227,#01D200
#0D08BD,#00B400,#30FF33,#3BFF39
#1712C7,#00BE00,#35FF31,#00C200
#0A02BA,#00C700,#2FD825,#37FF37
#120AC2,#3CFF39,#22F220,#21F527
#0F07BF,#00B300,#0FDE12,#3EFF3D
#120AC0,#00BB00,#1BEB19,#45FF49
#1510C5,#59FF56,#07D60A,#00B300
#120AC0,#4DFF4D,#10DA0C,#24F527
#130BC1,#3AFF3A,#14DF11,#00B600
#0803B8,#00C000,#1BEA1E,#44FF45
#140CC4,#1CE719,#09D907,#00CC00
#110BC3,#00C000,#21F121,#47FF46
#150DC5,#0DD908,#19E218,#00AE00
#100BC0,#36FF35,#10E010,#17EB1A
#1209C4,#28FA27,#1EEE1C,#10E416
#0E08C2,#16E815,#27F924,#44FF45
#1007C2,#2EFF2B,#18E816,#27FB2A
#1108C5,#02D400,#1AEB16,#0CE210
#180FCA,#36FF33,#25F621,#45FF4B
#1810C8,#00AF00,#14E00D,#00C600
#140CC4,#4CFF44,#01D103,#00AE00
#1007C4,#08DD07,#14E510,#13E814
#0F06C3,#35FF32,#1CED18,#00CE00
#1108C5,#15E714,#18E816,#20F527
#160DC8,#44FF43,#16E614,#34FF38
#130AC5,#47FF49,#2AFB26,#2FFF32
#1008BE,#00BC00,#2AFA2C,#08DC15
#120CC4,#00B000,#2AFA28,#2DFE33
#110BC3,#19E514,#19E917,#00CD03
#DADFE3,#CBCCCE,#CACDD2,#00C100
#150FC7,#00C900,#2CFC2C,#00C300
#0F09C1,#53FF52,#18E816,#28F92E
#110BC5,#22ED22,#30FF2E,#1BEC21
#1209C4,#00B900,#1CE719,#43FF49
#1108C3,#4CFF4C,#2DFD2B,#29FA2D
#1209C4,#9AAC9C,#C1C6CA,#00C900
#1209C4,#00C600,#0DDF0E,#3BFF41
#100AC4,#4FFF4D,#13E112,#00AF00
#1209C4,#24F426,#19E917,#01D004
#130AC5,#38FF38,#13E311,#07D80B
#120AC2,#44FF43,#28F328,#37FF3C
#1108C3,#4EFF50,#27F926,#4BFF51
#1109C1,#00B700,#19E919,#00B900
#0D04BF,#0EDD11,#12E212,#17E51E
#1006C7,#1DF017,#2BFE26,#2DFF2D
#1107C8,#27FA22,#1EF01B,#17EE17
#1206C8,#1CEF14,#1BED18,#1EF51B
#150CC9,#00BB00,#03D502,#43FF52
#1007C2,#00D000,#3BFF3E,#42FF4B
#1006C7,#0ADC07,#3BFF3E,#3EFF40
#0E05C2,#37FF2D,#40FF45,#00D000
#1007C2,#00CA00,#00C800,#4DFF52
#170ECB,#21ED1A,#0CDB0F,#43FF46
#140BC8,#09DA03,#02D306,#00C800
#0F06C3,#00C100,#29FB2A,#19F019
#0B02BF,#0BDC07,#26F529,#00C800
#160DCA,#16E712,#41FF42,#18EC1E
#140BC8,#4AFF46,#2AFA2C,#00AF00
#1105C7,#1EF116,#1DF018,#1DF41A
#1006C9,#1CF214,#1CEF17,#1EF617
#0D04C1,#4FFF4E,#37FF3C,#00B100
#0E05C2,#4CFF4A,#00BD00,#31FF3E
#130AC7,#00CD00,#00CE01,#47FF4B
#180FCC,#00CF00,#00D100,#00B000
#150CC9,#43FF44,#1AEB20,#00C300
#190FD0,#06D805,#0FE015,#51FF54
#0E05C2,#00C500,#13E31B,#3DFF3E
#150CC9,#40FF3F,#44FF48,#20F221
#1108C5,#0EE412,#3EFF42,#4AFF49
#1105C9,#1BF115,#17E914,#19F316
#1105C9,#25FB1F,#22F41F,#1FF61D
#1208CB,#42FF3F,#2CFF2D,#25FC25
#1006C7,#1FF324,#31F82D,#2EFF31
#1107C8,#1AEE1D,#0FE013,#1AE519
#130C6C,#128D10,#168914,#178A13
#13107B,#19A11D,#159B16,#35BA3A
#13128A,#12AA1A,#14AA17,#3ED645
#141490,#37D743,#18B520,#02A00E
#161595,#34E149,#18C223,#43EA52
#151398,#1BC929,#19C521,#10BC1C
#17169E,#1BCB2A,#13C21F,#07B716
#1617A3,#00B512,#1ED12D,#00B210
#191AA6,#00B717,#1DD72E,#009E00
#1A1BA7,#52FF68,#15CF26,#21DA36
#191AA8,#2FEA43,#1BD52C,#19D22E
#191AAA,#20DD38,#0DC91D,#31EA46
#191AAA,#07C61E,#15D125,#00A100
#1A1BA9,#04C11C,#0FCD21,#009D00
#1A1BA9,#1ADB2A,#1AD929,#10D321
#1D1EAC,#40FF57,#14D226,#009E00
#1516A4,#33F24A,#10CF21,#00A803
#1B1CAC,#0FD123,#1EDC30,#32F446
#1A1BA9,#37F553,#13D326,#009C00
#1A1BA7,#0FCC2A,#25E339,#41FE5C
#181BA8,#26EC3D,#1AD82C,#16D82C
#1718A6,#42FF5E,#1BDB2E,#0DCB29
#1B1CAA,#20E234,#1CDA2E,#20E535
#1B1CAA,#1BDD2E,#1BD92D,#1BE030
#1A1BA9,#27E73C,#19D92B,#09CB1F
#1A1BA7,#02BF1A,#22E034,#00B108
#1A1BA7,#1ADA2C,#1AD82C,#19DE2E
#1C1DA9,#19DB2D,#19D72B,#25EA3A
#1B1CA8,#1BDB2E,#1AD82C,#1ADF2F
#00AC09,#CCCEC9,#AFAFA7,#B5B5B3
#1A1BA7,#31CD2C,#1BD92D,#0BCC23
#BDBFBC,#C0C1BB,#BABAB8,#3BFC55
#1B1DA6,#22E13B,#20DE36,#00B00A
#191AA6,#21E136,#1FDD31,#19DE2E
#1A1BA7,#1ADA2D,#1AD82C,#1BDD2E
#191AA6,#1BDB2E,#1AD82C,#1CDE2F
#1E20A9,#27E73C,#1BD92D,#12D428
#191AA6,#1ADA2D,#1AD82C,#25E739
#1A1BA7,#1BDB2E,#1AD82C,#1ADF2F
#191AA6,#1ADA2D,#19D92B,#0CD121
#1A1BA7,#1BDB2D,#1AD82C,#1BE030
#1AD931,#ABBCA9,#1BE02E,#1A1BA9
#1A1BA9,#1ADB2A,#19D92B,#1CE330
#1B19A8,#19DC28,#1AD929,#1BE22D
#1A1BA9,#C1C0BB,#2AD12C,#1BE22D
#1E1EB0,#1BDF25,#1BDE28,#1BE82B
#2728B6,#0ACD19,#09CF1A,#00CB18
#1B1DB0,#1AE126,#1AE126,#12E023
#1E1EB0,#1EE52A,#14D721,#18E92E
#1E1FAF,#00C00C,#3EFF58,#38FF52
#1415A3,#2CEF3D,#29EB3C,#00BB0A
#1B1DB0,#1CDE28,#1BDE2A,#1CEA2D
#1B1DB0,#1BDF25,#1CDF2B,#1DEB2E
#1D1DB1,#1CDE25,#1BDE28,#1CEA2D
#1C1CAE,#27DA1F,#19DC28,#18E629
#1A1CAF,#1CDF23,#1AE02B,#1CEA2D
#191AB0,#1ADD27,#1AE02B,#1CEA2D
#1A1BB1,#1CDF29,#1AE02B,#1CEA2D
#1A1BB4,#1CE22B,#1BE12C,#1AEB30
#1A1BB4,#1DE52D,#1CE32E,#1CED2F
#1B1CB5,#1AE82E,#19E72D,#1BEE2F
#1B1BB7,#1DEB31,#1CEA30,#17F030
#1B1BB9,#1DEE33,#1AEB30,#1CED2F
#1919B7,#1CEE33,#1DEB31,#1BEC31
#1919B5,#1CEE33,#1DEA33,#1BEC31
#1818B4,#1BED32,#1FEC37,#1BEB33
#1617B0,#00CC19,#1EEA3D,#00CD16
#1B1CB5,#1BEB33,#1BE831,#1BE92F
#191AB3,#17EC2E,#1BE72E,#1BE92F
#1A19B3,#1FEC37,#27F342,#1BE92F
#1A1BB1,#23F03B,#2AF744,#1BE92F
#1918B2,#35FF4D,#0CD726,#25F53F
#1819B2,#09D923,#2AF645,#25F23B
#1819B2,#23E836,#08D31F,#1FEB34
#1A1BB1,#1DE938,#00BA0D,#19E430
#1214A5,#00BD11,#03C322,#1EE937
#1717AD,#1DE834,#00C81F,#24F039
#1415AB,#23EA2F,#19DF30,#18E42D
#1517AA,#22EC3E,#1DE23A,#1CE735
#1A1AAC,#00B402,#32F551,#24EF3D
#D0DDD6,#BDBFBC,#B1B3B0,#CCD0CF
#1717A9,#0DD729,#09CD23,#2AF543
#2021B1,#00AA05,#00AB11,#31F748
#1617A7,#35FB50,#14D335,#21E837
#1819A9,#30F64B,#50FF71,#38FE4F
#1F20B0,#00A500,#41FF60,#2CF245
#191AAA,#2EF449,#37FB53,#17E231
#1718A8,#2FF94D,#12D634,#0BD423
#1818AA,#1FE93B,#3FFF5A,#2BF142
#1718A8,#00AB01,#08CB29,#4CFF63
#1919AB,#22ED3B,#27EE3D,#07D21E
#1C1DAB,#3CFF59,#00AD0B,#00A200
#1717A9,#34FF4E,#17DB31,#05CC1B
#1A1AAC,#13DE2C,#1FE536,#16DD2A
#1919AB,#10DB2A,#00C015,#17DE2D
#1414A6,#1BE231,#37FC4D,#11DC28
#191AAA,#42FF60,#4DFF6C,#2FF546
#191AAA,#32FC50,#00A600,#0DD324
#1517A8,#24EE44,#00C51D,#06CC1F
#44FF5D,#CCCBC6,#C6CBC5,#8F9593
#0E0F9F,#3EFF5B,#30F351,#05CB1E
#1A1BAB,#3CFF57,#00C41C,#2DF346
#1818AA,#00BC0D,#1AE033,#14DB2A
#1818AC,#0ED927,#18DF2E,#20E736
#1C1EAF,#28EE3F,#28EE41,#21E837
#1D1EAE,#5AFF7A,#0BD02B,#13DB30
#1F20B0,#27F145,#09CD21,#1DE336
#1819A9,#24EE40,#37FD50,#25EB3C
#1B1BAD,#00C91B,#2BF146,#27ED3E
#1415A5,#34FE52,#32F64A,#50FF69
#1A1AAC,#0CD628,#25EB3E,#3BFF4F
#1718A8,#3BFF59,#3FFF57,#1FE538
#1C1DAD,#00C61B,#17DC2D,#00BA0B
#BAC3C2,#CED0CB,#DDE1E0,#37FD4E
#1919AB,#0ED82A,#12D829,#11DC28
#191AAA,#00C313,#2FF548,#3CFF52
#1A1BAB,#27F143,#00BB0F,#08CE1F
#1A1BAB,#00C015,#0AD023,#3AFF53
#1A1BAB,#2CF245,#20E639,#42FF5E
#1618A9,#38FE51,#3DFF56,#25F140
#191CAB,#43FF5C,#1DE334,#1CE233
#1518A7,#05CF21,#37FB4F,#30F647
#1B1CAC,#1EE33B,#009600,#3AFF53
#1719AA,#0AD428,#00AE01,#0AD023
#1719AA,#1EE937,#25EC39,#1DE431
#1818AE,#1AE531,#1BE22D,#1AE62D
